occurrencedate,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofweek,occurrencehour,mci_category,premises_type
2014-01-03,2014,January,3,Friday,11,Assault,Apartment
2014-01-03,2014,January,3,Friday,14,Break and Enter,House
2014-01-03,2014,January,3,Friday,13,Assault,Outside
2014-01-03,2014,January,3,Friday,12,Theft Over,Commercial
2014-01-03,2014,January,3,Friday,14,Robbery,Commercial
2014-01-02,2014,January,2,Thursday,23,Break and Enter,Commercial
2014-01-02,2014,January,2,Thursday,22,Assault,Commercial
2013-12-31,2013,December,31,Tuesday,11,Theft Over,Outside
2014-01-03,2014,January,3,Friday,17,Assault,Apartment
2014-01-03,2014,January,3,Friday,20,Break and Enter,Apartment
2014-01-03,2014,January,3,Friday,15,Break and Enter,House
2014-01-03,2014,January,3,Friday,13,Break and Enter,House
2014-01-03,2014,January,3,Friday,14,Assault,Outside
2014-01-03,2014,January,3,Friday,20,Assault,Apartment
2014-01-03,2014,January,3,Friday,18,Break and Enter,House
2013-12-18,2013,December,18,Wednesday,19,Break and Enter,Apartment
2014-01-03,2014,January,3,Friday,20,Break and Enter,House
2014-01-03,2014,January,3,Friday,8,Break and Enter,Apartment
2014-01-02,2014,January,2,Thursday,NA,Assault,Other
2014-01-03,2014,January,3,Friday,11,Assault,Commercial
2014-01-03,2014,January,3,Friday,14,Theft Over,Commercial
2014-01-03,2014,January,3,Friday,22,Assault,Outside
2014-01-03,2014,January,3,Friday,5,Assault,Commercial
2014-01-03,2014,January,3,Friday,9,Robbery,Commercial
2014-01-03,2014,January,3,Friday,19,Auto Theft,Outside
2014-01-03,2014,January,3,Friday,17,Auto Theft,Outside
2014-01-02,2014,January,2,Thursday,23,Auto Theft,Outside
2014-01-03,2014,January,3,Friday,17,Auto Theft,Outside
2013-12-20,2013,December,20,Friday,3,Auto Theft,House
2014-01-02,2014,January,2,Thursday,20,Auto Theft,Outside
2014-01-02,2014,January,2,Thursday,18,Auto Theft,Apartment
2014-01-04,2014,January,4,Saturday,NA,Assault,Apartment
2014-01-04,2014,January,4,Saturday,NA,Assault,Commercial
2014-01-04,2014,January,4,Saturday,1,Assault,Apartment
2014-01-04,2014,January,4,Saturday,NA,Assault,Commercial
2014-01-04,2014,January,4,Saturday,NA,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,2,Theft Over,Outside
2014-01-04,2014,January,4,Saturday,4,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,1,Assault,Apartment
2014-01-04,2014,January,4,Saturday,1,Assault,Apartment
2014-01-04,2014,January,4,Saturday,3,Assault,Apartment
2014-01-04,2014,January,4,Saturday,10,Assault,Apartment
2013-11-27,2013,November,27,Wednesday,20,Assault,Apartment
2014-01-04,2014,January,4,Saturday,2,Assault,House
2014-01-03,2014,January,3,Friday,17,Break and Enter,Commercial
2014-01-03,2014,January,3,Friday,20,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,12,Assault,Apartment
2014-01-04,2014,January,4,Saturday,12,Assault,Commercial
2014-01-04,2014,January,4,Saturday,12,Assault,Commercial
2014-01-04,2014,January,4,Saturday,12,Assault,Outside
2014-01-04,2014,January,4,Saturday,11,Robbery,Apartment
2014-01-02,2014,January,2,Thursday,15,Break and Enter,House
2014-01-04,2014,January,4,Saturday,NA,Break and Enter,Apartment
2013-12-25,2013,December,25,Wednesday,18,Break and Enter,House
2014-01-04,2014,January,4,Saturday,14,Assault,Apartment
2014-01-03,2014,January,3,Friday,14,Break and Enter,House
2014-01-04,2014,January,4,Saturday,15,Assault,Commercial
2014-01-04,2014,January,4,Saturday,15,Assault,Commercial
2014-01-04,2014,January,4,Saturday,13,Assault,House
2014-01-03,2014,January,3,Friday,21,Theft Over,Outside
2014-01-02,2014,January,2,Thursday,4,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,14,Break and Enter,House
2014-01-04,2014,January,4,Saturday,13,Assault,Apartment
2014-01-04,2014,January,4,Saturday,16,Assault,Other
2014-01-04,2014,January,4,Saturday,17,Assault,Apartment
2014-01-04,2014,January,4,Saturday,15,Assault,House
2014-01-04,2014,January,4,Saturday,18,Assault,House
2014-01-04,2014,January,4,Saturday,19,Assault,Apartment
2014-01-03,2014,January,3,Friday,20,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,22,Assault,Apartment
2014-01-04,2014,January,4,Saturday,20,Assault,Apartment
2014-01-04,2014,January,4,Saturday,20,Assault,Apartment
2013-12-30,2013,December,30,Monday,2,Assault,Commercial
2013-12-30,2013,December,30,Monday,NA,Break and Enter,Apartment
2014-01-04,2014,January,4,Saturday,20,Assault,Commercial
2014-01-04,2014,January,4,Saturday,22,Assault,Commercial
2014-01-04,2014,January,4,Saturday,22,Assault,Commercial
2014-01-04,2014,January,4,Saturday,21,Assault,Other
2014-01-04,2014,January,4,Saturday,21,Assault,Other
2014-01-04,2014,January,4,Saturday,3,Assault,Outside
2014-01-04,2014,January,4,Saturday,21,Robbery,Commercial
2014-01-04,2014,January,4,Saturday,19,Break and Enter,House
2013-12-30,2013,December,30,Monday,18,Assault,Apartment
2014-01-04,2014,January,4,Saturday,23,Robbery,Commercial
2014-01-04,2014,January,4,Saturday,23,Robbery,Commercial
2014-01-04,2014,January,4,Saturday,23,Assault,Other
2014-01-04,2014,January,4,Saturday,23,Assault,Commercial
2014-01-04,2014,January,4,Saturday,19,Break and Enter,House
2014-01-04,2014,January,4,Saturday,19,Assault,Apartment
2014-01-04,2014,January,4,Saturday,23,Break and Enter,House
2014-01-04,2014,January,4,Saturday,19,Break and Enter,House
2013-01-04,2013,January,4,Friday,22,Robbery,Outside
2013-11-15,2013,November,15,Friday,NA,Assault,Apartment
2014-01-03,2014,January,3,Friday,11,Auto Theft,Outside
2014-01-04,2014,January,4,Saturday,19,Auto Theft,House
2014-01-04,2014,January,4,Saturday,19,Auto Theft,House
2014-01-03,2014,January,3,Friday,11,Auto Theft,Outside
2014-01-03,2014,January,3,Friday,12,Auto Theft,Outside
2014-01-04,2014,January,4,Saturday,NA,Auto Theft,Outside
2014-01-05,2014,January,5,Sunday,NA,Assault,House
2014-01-06,2014,January,6,Monday,11,Assault,Outside
2014-01-06,2014,January,6,Monday,13,Assault,Apartment
2014-01-06,2014,January,6,Monday,12,Assault,House
2014-01-03,2014,January,3,Friday,23,Assault,Other
1996-01-31,NA,None,NA,None,NA,Assault,House
2014-01-06,2014,January,6,Monday,14,Assault,Commercial
2014-01-06,2014,January,6,Monday,11,Break and Enter,House
2014-01-06,2014,January,6,Monday,16,Assault,Apartment
2014-01-06,2014,January,6,Monday,15,Assault,Other
2014-01-06,2014,January,6,Monday,15,Robbery,Other
2014-01-06,2014,January,6,Monday,14,Assault,Apartment
2014-01-06,2014,January,6,Monday,16,Assault,Apartment
2013-12-31,2013,December,31,Tuesday,21,Break and Enter,Commercial
2014-01-06,2014,January,6,Monday,19,Assault,Apartment
2014-01-06,2014,January,6,Monday,7,Break and Enter,House
2014-01-06,2014,January,6,Monday,20,Assault,Apartment
2013-12-17,2013,December,17,Tuesday,12,Theft Over,Commercial
2014-01-06,2014,January,6,Monday,12,Break and Enter,Other
2014-01-06,2014,January,6,Monday,18,Break and Enter,Apartment
2013-12-30,2013,December,30,Monday,NA,Break and Enter,Apartment
2013-12-30,2013,December,30,Monday,18,Robbery,Outside
2014-01-06,2014,January,6,Monday,11,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,16,Assault,Outside
2014-01-06,2014,January,6,Monday,19,Assault,Apartment
2014-01-06,2014,January,6,Monday,17,Assault,House
2013-12-31,2013,December,31,Tuesday,15,Break and Enter,Commercial
2013-12-28,2013,December,28,Saturday,16,Break and Enter,House
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,19,Robbery,Apartment
2014-01-06,2014,January,6,Monday,18,Break and Enter,House
2014-01-06,2014,January,6,Monday,19,Robbery,Outside
2014-01-06,2014,January,6,Monday,20,Assault,House
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,22,Robbery,Outside
2014-01-06,2014,January,6,Monday,18,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,21,Assault,House
2014-01-06,2014,January,6,Monday,20,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,17,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,12,Break and Enter,House
2013-11-11,2013,November,11,Monday,15,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,2,Assault,Apartment
2013-12-19,2013,December,19,Thursday,13,Break and Enter,Educational
2014-01-01,2014,January,1,Wednesday,12,Assault,Apartment
2013-12-28,2013,December,28,Saturday,16,Auto Theft,House
2014-01-06,2014,January,6,Monday,8,Auto Theft,House
2014-01-06,2014,January,6,Monday,9,Auto Theft,House
2014-01-06,2014,January,6,Monday,16,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,1,Assault,House
2014-01-06,2014,January,6,Monday,22,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,2,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,2,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,2,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,5,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,8,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,8,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,4,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,3,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,5,Break and Enter,Commercial
2013-12-22,2013,December,22,Sunday,14,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,9,Assault,Apartment
2014-01-06,2014,January,6,Monday,23,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,11,Assault,Other
2014-01-07,2014,January,7,Tuesday,12,Assault,House
2014-01-06,2014,January,6,Monday,16,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,10,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,12,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-03,2014,January,3,Friday,10,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,12,Assault,Commercial
2014-01-03,2014,January,3,Friday,11,Break and Enter,House
2013-09-26,2013,September,26,Thursday,11,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,2,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,10,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,11,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,11,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,8,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,15,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,16,Assault,Outside
2014-01-07,2014,January,7,Tuesday,16,Assault,Outside
2014-01-07,2014,January,7,Tuesday,12,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,17,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,17,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,17,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,15,Assault,Other
2014-01-07,2014,January,7,Tuesday,17,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,17,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,17,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,16,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,16,Robbery,Apartment
2014-01-07,2014,January,7,Tuesday,18,Robbery,Outside
2013-12-26,2013,December,26,Thursday,14,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,9,Break and Enter,Apartment
2013-12-20,2013,December,20,Friday,12,Assault,Outside
2014-01-02,2014,January,2,Thursday,23,Robbery,Outside
2014-01-07,2014,January,7,Tuesday,13,Break and Enter,House
